Title,Link,Body,Date,Notes,Author,Positive Score,Negative Score,Neutral Score,
China's answer to ChatGPT? Baidu shares tumble as Ernie Bot disappoints,https://www.reuters.com/technology/chinese-search-giant-baidu-introduces-ernie-bot-2023-03-16/,"China's Baidu unveiled its much-awaited artificial intelligence-powered chatbot known as Ernie Bot on Thursday, but disappointed investors with its use of pre-recorded videos and the lack of a public launch, sending its shares tumbling. The just over an hour-long presentation, which came two days after Alphabet Inc's (GOOGL.O) Google unveiled a flurry of AI tools for its email, collaboration and cloud software, gave the world a glimpse of what could be China's strongest rival to U.S. research lab OpenAI's ChatGPT. But unlike ChatGPT, which last November launched as a free to use chatbot to the public, Baidu limited the presentation to brief videos that showed Ernie carrying out mathematical calculations, speaking in Chinese dialects and generating a video and image with text prompts. It will only be open for trial to an initial group of users with invitation codes from Thursday, while companies can apply to embed the bot into their products via Baidu's cloud platform, the company said. Baidu's Hong Kong shares (9888.HK) tumbled as much as 10% while its CEO Robin Li spoke and eventually closed 6.4% lower, shaving over $3 billion off the Chinese search engine giant's market valuation. ""It seems like the presentation was more of a monologue and scripted rather than an interactive session that people were looking for. There was no soft launch date either which likely led to negative sentiments,"" said Kai Wang, an analyst from Morningstar. Baidu is seen as a leader in a race in China among tech giants and startups to develop a rival to Microsoft (MSFT.O) ChatGPT, which took the world by storm after showcasing the power of so-called generative AI, which can create new text, imagery and other content based on inputs from past data. The company's Ernie bot is based off its AI-driven deep learning model, Ernie - short for ""Enhanced Representation through Knowledge Integration"". During the presentation at Baidu's Beijing headquarters that was also livestreamed over nine platforms, Li cautioned it was not perfect. ""So why are we unveiling it today? Because the market demands it,"" he said. Baidu did not immediately respond to a request for comment on the share drop but after the presentation published a statement saying that over 30,000 corporate users had applied to test the API of Ernie Bot's business-facing edition and that traffic on Baidu's cloud website soared. ""After the release of ChatGPT, only Baidu has made a benchmark product among the major tech companies in the world,"" it said. NATIONAL CHAMPION Charlie Chai, an analyst with 86Research, said while the event was clearly a disappointment for many who had viewed it as a trading catalyst, he still viewed Baidu as the best bet in China's AI space. ""We continue to advise investors to patiently hold BIDU shares as the best 'national champion' play in China’s (semi-segregated) AI space,"" he said. Baidu has touted its many years of heavy R&D investment in artificial intelligence and deep learning and said it plans to use Ernie Bot to revolutionise its search engine as well as use it to increase efficiency in cloud, smart cars and household appliances. Earlier this week, OpenAI on Tuesday said it is beginning to release a powerful artificial intelligence model known as GPT-4, describing it as ""multimodel"", meaning images as well as text prompts can spur it to generate content. Li nodded to GPT-4 during his speech, saying it surprised him with its ability to summarise information, but cautioned against seeing this through the lens of geopolitics. ""Ernie Bot is not a tool of confrontation between China and the United States,"" he said. To date, 650 companies have said they will join the Ernie ecosystem, he added.",3/16,,"Eduardo Baptista, Josh Ye",0.1191684827,0.7047088742,0.1761226654,-0.5855403915
"PwC's 4,000 legal staffers get AI assistant as law chatbots gain steam",https://www.reuters.com/world/uk/pwcs-4000-legal-staffers-get-ai-assistant-law-chatbots-gain-steam-2023-03-15/,"PricewaterhouseCoopers said Wednesday that it will give 4,000 of its legal professionals access to an artificial intelligence platform, becoming the latest firm to introduce generative AI technology for legal work. PwC said it partnered with AI startup Harvey for an initial 12-month contract, which the accounting and consulting firm said will help lawyers with contract analysis, regulatory compliance work, due diligence and other legal advisory and consulting services. PwC said it will also determine ways for tax professionals to use the technology. It said its access to Harvey's technology is exclusive among the Big Four professional services firms. Harvey is built on technology from OpenAI, the Microsoft Corp-backed startup that on Tuesday released an upgraded version of its AI sensation ChatGPT. Harvey received a $5 million investment last year in a funding round led by the OpenAI Startup Fund. PwC said AI will not provide legal advice to its clients and ""will not replace lawyers."" A PwC spokesperson said the company will use its own internal data and over time may use anonymized data from clients that want PwC to use their information for certain uses. It will also work to make its own AI models with Harvey's platform to create custom products and services, it said. Other companies, law firms and professional services firms have also started to experiment with generative AI technology. Global law firm Allen & Overy last month became the first major legal business to publicly partner with Harvey. The large London-founded firm said more than 3,500 of its lawyers will use the service to automate some legal document drafting and research. Other legal technology companies are rushing to incorporate generative AI capabilities into products. Robin AI, a London-founded company that focuses on contracts, last month said it integrated technology into its platform from OpenAI competitor Anthropic. Casetext, a legal research company, said Tuesday its recently-released AI legal assistant product is also built on OpenAI's latest model, GPT-4.",3/15,,Sara Merken,0.337143898,0.4608347416,0.2020213902,-0.1236908436
Twitter rival Koo integrates ChatGPT to help users create content,https://www.reuters.com/technology/twitter-rival-koo-integrates-chatgpt-help-users-create-content-2023-03-13/,"Koo, an India-based social media app that aims to rival Twitter, has integrated OpenAI's ChatGPT to help users more easily create posts, the company's co-founder told Reuters. ChatGPT is an artificial intelligence bot that can create prose in response to prompts and has set off a tech industry craze over generative AI. Koo users will be able to use ChatGPT directly within the app to help them draft posts about current events, politics or pop culture, said Mayank Bidawatka, co-founder of Koo, in an interview. ""This will help creators get inspiration on what to create,"" he said. ""They could ask (ChatGPT) for the trending news in their region and then write their thoughts."" Last month, tech giants Microsoft (MSFT.O) and Alphabet's (GOOGL.O) Google each announced their own generative AI chatbots which can synthesize information across the web in response to searches. Snap Inc (SNAP.N), which owns photo messaging app Snapchat, also introduced a chatbot that was trained to have a fun and friendly tone. Bidawatka said Koo will be the first platform to integrate the technology into the ability to compose posts. Users can either type their prompts into the ChatGPT tool or use Koo's voice command feature. About 20% of Koo users actively create content on the app and the ChatGPT integration could help increase that figure, he added. The feature will roll out first to verified accounts on Koo and eventually become available to all users. In a demo to Reuters, the tool drafted a post using a quote from Albert Einstein and included three related hashtags. Koo will also explore adding labels to indicate whether a post was created with the help of ChatGPT. ""I think people should know if content is AI-generated,"" Bidawatka said.",3/14,,Sheila Dang,0.6013303995,0.2573540807,0.14131549,0.3439763188
GM explores using ChatGPT in vehicles,https://www.reuters.com/business/autos-transportation/gm-explores-using-chatgpt-vehicles-2023-03-10/,"General Motors Co (GM.N) is exploring uses for ChatGPT as part of its broader collaboration with Microsoft Corp (MSFT.O), a company executive told Reuters. ""ChatGPT is going to be in everything,"" GM Vice President Scott Miller said in an interview last week. The chatbot could be used to access information on how to use vehicle features normally found in an owners manual, program functions such as a garage door code or integrate schedules from a calendar, Miller said. ""This shift is not just about one single capability like the evolution of voice commands, but instead means that customers can expect their future vehicles to be far more capable and fresh overall when it comes to emerging technologies,"" a GM spokesperson said on Friday. The news was first reported by website Semafor, which said that the American automaker was working on a virtual personal assistant that uses AI models behind ChatGPT. Earlier this year, Microsoft announced a multi-billion dollar investment in ChatGPT-owner OpenAI and said it aims to add the chatbot's technology into all its products. Microsoft, like other big tech companies, has been ramping up its efforts to embed more technology in vehicles, from infotainment systems to automated driving to operating systems that control battery performance and multiple other functions of a vehicle. GM in 2021 partnered with Microsoft to accelerate the commercialization of driverless vehicles. Shares of GM were down about 2% on Friday amid a broader drop.",3/13,,,0.4328255653,0.3420048952,0.2251695395,0.09082067013
Groq adapts Meta's chatbot for its own chips in race against Nvidia,https://www.reuters.com/technology/groq-adapts-metas-chatbot-its-own-chips-race-against-nvidia-2023-03-09/,"Groq, a Silicon Valley chip startup founded by a former Alphabet Inc (GOOGL.O) engineer, said on Thursday it has adapted technology similar to the underpinnings of the wildly popular ChatGPT to run on its chips. Groq modified LLaMA, a large language model released last month by Facebook parent Meta Platforms Inc (META.O) that can be used to power bots to generate human-like text. The move is significant because Meta's researchers originally developed LLaMA using chips from Nvidia Corp (NVDA.O), which has a market share of nearly 90% for AI computing according to some estimates. Showing that a cutting-edge model can be moved to Groq's chips easily could help the startup prove that its products are a viable alternative to Nvidia. Groq has been trying to chip away at Nvidia's market share, along with startups such as SambaNova and Cerebras and big companies like Advanced Micro Devices Inc (AMD.O) and Intel Corp (INTC.O). Efforts to find alternative chips to Nvidia's have gained extra steam with the popularity of ChatGPT which has focused attention on Nvidia's dominant role in AI. The public battle to dominate the AI technology space kicked off late last year with the launch of Microsoft Corp (MSFT.O)-backed OpenAI's ChatGPT and prompted tech heavyweights from Alphabet to China's Baidu Inc (9888.HK) to trumpet their own offerings. Meta made its code available to researchers for noncommercial use. Groq used Meta's model but stripped out the code that was included in order to make the model run on an Nvidia chip, Groq CEO Jonathan Ross told Reuters. Groq then ran that model through Groq Compiler which automatically adds specific code for it to run on its own computing system. A compiler turns code into ones and zeros so a chip can read them. Ross said the company's goal is to make it easy to move models from Nvidia's chips to its own. He said using the Groq system can also eliminate engineering effort each time changes are made to the LlaMA or other models to get it to work on the chips. Meta Platforms declined to comment. The company has been working on making it easier for developers to use non-Nvidia chips and in October launched a set of free software tools for AI applications that enable switching back and forth between Nvidia and AMD chips.",3/9,,"Jane Lee, Stephen Nellis",0.5053318739,0.3167321682,0.1779359132,0.1885997057
Salesforce to add ChatGPT to Slack as part of OpenAI partnership,https://www.reuters.com/technology/salesforce-add-chatgpt-slack-part-openai-partnership-2023-03-07/,"Salesforce Inc (CRM.N) said on Tuesday it was working with ChatGPT creator OpenAI to add the chatbot sensation to its collaboration software Slack, as well as bring generative artificial intelligence to its business software generally. The San Francisco-based company said technology it is calling EinsteinGPT would combine its proprietary AI with that of outside partners, including OpenAI, to help businesses generate email drafts, customer-account information and computer code. ChatGPT also would integrate with Slack to help users summarize conversation threads and handle other queries. The move reflects a race among technology companies to outfit their tools with generative AI, which can create new text, imagery and other content based on inputs from past data. Microsoft Corp (MSFT.O), for instance, has announced that technology from OpenAI - a company in which it is investing - can generate meeting notes in its product Teams, as well as suggest email replies to vendors through its Viva Sales subscription. Teams competes with Slack. Clara Shih, a general manager at Salesforce, said in a press briefing that the announcement responded to demand by businesses for the nascent technology. She said Salesforce's proprietary data and AI models would help differentiate its offering. Salesforce's generative AI tools would help companies “completely reimagine how they engage with their customers,” she said. Salesforce also announced a fund to invest in generative AI startups.",3/7,,,0.5687888861,0.2805131674,0.1506979465,0.2882757187
Microsoft integrates AI behind ChatGPT to more developer tools,https://www.reuters.com/technology/microsoft-expands-chatgpt-integration-more-developer-tools-2023-03-06/,"Microsoft Corp (MSFT.O) on Monday bundled the technology behind ChatGPT with its Power Platform that allows users to develop applications with little or no coding, the latest integration of artificial intelligence into its products. Big tech companies from Alphabet Inc (GOOGL.O) to Baidu Inc (9888.HK) are speeding up the integration of generative AI - technology that has gained popularity for its ability to generate human-like text responses to queries - into their offerings. Microsoft said a line of business-intelligence and app-development tools within Power Platform, including Power Virtual Agent and AI Builder, was updated with the new capabilities. Power Virtual Agent, a tool for businesses to build chatbots, can now connect to internal company resources to generate summaries of weekly reports and customer queries. Microsoft has also added generative AI capabilities to AI Builder, which lets businesses automate workflows, and launched a new version of its business management platform Dynamics 365 based on the technology. Dynamics 365 Copilot, the latest version of Microsoft's tool that includes a number of applications for sales, customer service and marketing, integrates AI to automate certain tasks like data gathering and analysis or creating an email campaign, among other capabilities. Microsoft also said on Monday that Chief Executive Satya Nadella would host an event on March 16 to discuss ""reinventing productivity with AI."" The company so far has announced AI updates for its popular Windows operating system and search engine Bing but not yet for its Office productivity suite, which includes Word and Excel.",3/6,,,0.6500868201,0.1653998643,0.1845133454,0.4846869558
Apple blocks update to email app with ChatGPT tech,https://www.reuters.com/technology/apple-blocks-update-email-app-with-chatgpt-tech-wsj-2023-03-02/,"Apple Inc (AAPL.O) has blocked an update to email app BlueMail, which uses a customized version of OpenAI's GPT-3 language model, the co-founder of the app developer told Reuters on Thursday. ""Apple has blocked the BlueMail update and continues to treat BlueMail unfairly and to discriminate against us,"" Blix's Ben Volach said. ""Other GPT-powered apps seem not to be restricted,"" he added. Apple, which rejected the app update last week, asked the company to revise the app's age rating for those over 17 or implement content filtering, as BlueMail may produce content not appropriate for all audiences, according to a document viewed by Reuters. ""We want fair­ness. If we're re­quired to be 17-plus, then oth­ers should also have to,"" Volach tweeted, adding that many other apps that advertise ChatGPT-like features listed on Apple's app store do not have age restrictions. Apple, which was looking into the complaint, said developers have the option to challenge a rejection through the App Review Board process. ""It suggests to us that the company may scrutinize apps with ChatGPT functionality in the same way it does others where there are concerns about the quality of the user experience and appropriate nature of the content or service provided by the app,"" D.A. Davidson analyst Thomas Forte said. OpenAI's ChatGPT, which can generate content in response to user prompts, has captivated the tech industry. Microsoft (MSFT.O) and Alphabet Inc's (GOOGL.O) Google both announced their own AI chatbots earlier in February. While AI-powered chatbots are a nascent field, early search results and conversations have made headlines with their unpredictability.",3/3,,Akash Sriram,0.1698026806,0.697734952,0.1324623525,-0.5279322714
Elon Musk recruits team to develop OpenAI's ChatGPT rival - The Information,https://www.reuters.com/technology/elon-musk-recruits-team-develop-openai-rival-information-2023-02-28/,"Elon Musk has approached AI researchers in recent weeks about forming a new research lab to develop an alternative to OpenAI's ChatGPT, the Information reported on Monday, citing people with direct knowledge of the effort. Tesla and Twitter chief Musk has been recruiting Igor Babuschkin, a researcher who recently left Alphabet's (GOOGL.O) DeepMind AI unit, the report said. The report comes after ChatGPT, a text-based chatbot developed by OpenAI that can draft prose, poetry or even computer code on command, gained widespread attention in Silicon Valley. Musk, who had co-founded OpenAI along with Silicon Valley investor Sam Altman in 2015 as a nonprofit startup, had left its board in 2018, but chimed in with his take on the chatbot, calling it ""scary good"". Musk and Babuschkin have discussed assembling a team to pursue AI research but the project is still in the early stages, with no concrete plan to develop specific products, the report said quoting an interview with the latter. Babuschkin added that has not officially signed onto the Musk initiative, according to the report. Musk and Babuschkin could not be reached immediately for comments.",2/28,,,0.2036355287,0.6160405874,0.1803238988,-0.4124050587
Snap to roll out chatbot powered by OpenAI's ChatGPT,https://www.reuters.com/technology/snap-roll-out-chatbot-using-openais-tech-2023-02-27/,"Snap Inc (SNAP.N), which owns photo messaging app Snapchat, said on Monday it is rolling out an artificial intelligence chatbot powered by OpenAI's ChatGPT technology, as the company seeks to enter the buzzy field of generative AI. The chatbot, called My AI, will be available to subscribers of Snap's premium subscription Snapchat+, the company said in a blog post. ChatGPT, which can generate prose in response to prompts, has captivated the tech industry. Microsoft and Alphabet's Google both announced their own AI chatbots earlier in February. My AI was trained to have a fun and lighthearted tone and will be able to offer creative ideas like potential gifts for a friend's birthday or write a poem about a certain topic, Snap said. The Santa Monica, California-based company said in the blog post that the chatbot is ""prone to hallucination,"" and may be tricked into saying anything, adding that users should not rely on the bot for advice. While AI-powered chatbots are a nascent field, early search results and conversations have made headlines with its unpredictability. Alphabet lost $100 billion in market value earlier this month when its new chatbot shared inaccurate information in a promotional video.",2/27,,,0.4246696234,0.4396463037,0.1356840432,-0.01497668028
