Article #,Valence,Hopes,Fears,Fear 2,Frame,Credibility,Detail,
1,2: Leaning negative ,,"creativity, employment",,"Explanation, automation",No citation,Detailed layperson explanation,
2,2: Leaning negative ,"creativity, existential","creativity, existential",,"Limitations, Future, Content Creation",Cites celebrities,No explanation,
3,1: Uniformly Strongly Negative,,security,,"limtations, issues",No citation,Some layperson explanation,
4,2: Leaning negative ,,"existential, authenticity",,"explanation, limitations",No citation,Academic/expert explanation,
5,1: Uniformly Strongly Negative,,"existential, China",,"issues, future","Industry, academic",No explanation,
6,1: Uniformly Strongly Negative,,"education, existential",,"issues, international politics, ",polititician,Moderate layperson explanation,
7,4: Leaning positive,"creativity, content creation",automation,,content creation,No citation,No explanation,
8,2: Leaning negative ,,bias,,"limitations, issues",Academic,Some layperson explanation,
9,2: Leaning negative ,,"education, writing",,issues,Academic,Some layperson explanation,
10,2: Leaning negative ,,"content creation, truth, writing",,explanation,writers,Some layperson explanation,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
