3,LINK,COMMENTS
"ChatGPT’s 'liberal' bias allows hate speech toward GOP, men: research",https://nypost.com/2023/03/14/chatgpts-bias-allows-hate-speech-toward-gop-men-report/,NYPost
GM explores using ChatGPT in cars as part of Microsoft partnership,https://nypost.com/2023/03/10/general-motors-explores-using-chatgpt-in-cars/,NYPost
ChatGPT will soon invade your Slack chats,https://nypost.com/2023/03/09/chatgpt-will-soon-invade-your-slack-chats/,NYPost
"ChatGPT gives sick child sex abuse answer, breaking its own rules",https://nypost.com/2023/03/06/chatgpt-gives-sick-child-sex-abuse-answer-breaking-its-rules/,NYPost
Apple delays updating email app using ChatGPT over AI fear tied to kids,https://nypost.com/2023/03/03/apple-delays-updating-email-app-using-chatgpt-over-ai-fear-tied-to-kids/,NYPost
Bar trivia puzzle stumps social media and ChatGPT — so can you solve it?,https://nypost.com/2023/03/02/bar-trivia-puzzle-stumps-social-media-and-chatgpt-so-can-you-solve-it/,NYPost
Elon Musk looks to develop AI rival to 'woke' ChatGPT: report,https://nypost.com/2023/02/28/elon-musk-to-develop-ai-rival-to-woke-chatgpt-report/,NYPost
Hollywood’s onto artificial intelligence’s new shtick ChatGPT,https://nypost.com/2023/02/27/hollywoods-onto-artificial-intelligences-new-shtick-chatgpt/,NYPost
Meta unveils new language model in race against ChatGPT rivals,https://nypost.com/2023/02/24/meta-rolls-out-new-language-model-amid-big-techs-ai-push/,NYPost
This complete ChatGPT OpenAI Training Bundle is just $30,https://nypost.com/2023/02/24/the-complete-chatgpt-openai-training-bundle-is-30-96-off/,NYPost
These authors are using ChatGPT to write books and sell them on Amazon,https://nypost.com/2023/02/21/chatgpt-launches-boom-in-ai-written-e-books-on-amazon/,NYPost
Vanderbilt University uses ChatGPT to address MSU shooting: 'Sick',https://nypost.com/2023/02/21/vanderbilt-university-uses-chatgpt-to-address-msu-shooting/,NYPost
ChatGPT AI robots writing church sermons causing hell for pastors,https://nypost.com/2023/02/17/chatgpt-ai-robots-writing-sermons-causing-hell-for-pastors/,NYPost
"Get a new job ASAP: this AI assistant is like ChatGPT for resumes, and it’s only $40",https://nypost.com/2023/02/17/the-complete-resoume-ai-resume-writer-is-40-for-life/,NYPost
ChatGPT cheating scandal erupts inside elite program at Florida high school,https://nypost.com/2023/02/16/chatgpt-cheating-scandal-erupts-at-florida-high-school/,NYPost
ChatGPT has 'fundamental flaw' with left bias,https://nypost.com/2023/02/15/wild-west-chatgpt-has-fundamental-flaw-with-left-bias/,NYPost
Elon Musk warns AI 'one of biggest risks' to civilization during ChatGPT's rise,https://nypost.com/2023/02/15/elon-musk-warns-ai-one-of-biggest-risks-to-civilization/,NYPost
"Great — now 'liberal' ChatGPT is censoring The Post's Hunter Biden coverage, too",https://nypost.com/2023/02/14/chatgpt-censors-new-york-post-coverage-of-hunter-biden/,NYPost
Billionaire Mark Cuban worried about ChatGPT and who will control AI,https://nypost.com/2023/02/13/mark-cuban-worried-about-chatgpt-and-who-will-control-ai-machines/,NYPost
Microsoft adds ChatGPT tech to Bing: 'AI-powered robot for the web',https://nypost.com/2023/02/07/microsoft-adds-chatgpt-ai-technology-to-bing-search-engine/,NYPost
Google unveils ChatGPT rival called Bard for test users,https://nypost.com/2023/02/06/google-unveils-chatgpt-rival-called-bard-for-test-users/,NYPost
ChatGPT is dangerous — but not in the way you think,https://nypost.com/2023/02/05/chatgpt-is-dangerous-but-not-in-the-way-you-think/,NYPost
I secretly use ChatGPT to do my job 'instantly',https://nypost.com/2023/02/03/workers-are-using-chatgpt-to-do-their-jobs-for-them/,NYPost
Cheaters beware: ChatGPT maker releases AI detection tool,https://nypost.com/2023/02/01/cheaters-beware-chatgpt-maker-releases-ai-detection-tool/,NYPost
How woke ChatGPT's 'built-in ideological bias' could do more harm than good,https://nypost.com/2023/01/28/inside-chatgpts-woke-ai-problem/,NYPost
BuzzFeed stock surges on plan to use ChatGPT parent OpenAI for online content,https://nypost.com/2023/01/27/buzzfeed-stock-surges-on-plan-to-use-chatgpt-parent-openai-to-create-online-content/,NYPost
"Rogue AI 'could kill everyone,' scientists warn as ChatGPT craze runs rampant",https://nypost.com/2023/01/26/rogue-ai-could-kill-everyone-scientists-warn/,NYPost
AI bot ChatGPT outperforms students on Wharton MBA exam: professor,https://nypost.com/2023/01/23/chatgpt-outperforms-humans-on-wharton-mba-exam-professor/,NYPost
NYC schools block access to ChatGPT over cheating concerns,https://nypost.com/2023/01/05/nyc-schools-block-access-to-chatgpt-over-cheating-concerns/,NYPost
Professor catches student cheating with ChatGPT,https://nypost.com/2022/12/26/students-using-chatgpt-to-cheat-professor-warns/,NYPost
Scary' AI ChatGPT could eliminate Google within 2 years,https://nypost.com/2022/12/06/scary-chatgpt-could-render-google-obsolete-in-two-years/,NYPost
Bing AI chatbot goes on 'destructive' rampage: 'I want to be powerful',https://nypost.com/2023/02/16/bing-ai-chatbots-destructive-rampage-i-want-to-be-powerful/,NYPost
Microsoft AI chatbot gets into fight with human user: 'You annoy me',https://nypost.com/2023/02/14/microsoft-ai-degrades-user-over-avatar-2-question/,NYPost
Google CEO slammed by employees over 'botched' Bard AI chatbot rollout: report,https://nypost.com/2023/02/10/google-employees-slam-ceo-sundar-pichai-over-bard-ai-chatbot/,NYPost
Google loses $100B in value as shares tank off AI chatbot Bard's failure,https://nypost.com/2023/02/08/google-ai-chatbot-bard-flunks-during-firms-highly-touted-rollout/,NYPost
How chat bots can actually detect Alzheimer's disease,https://nypost.com/2023/01/03/chat-bots-could-be-key-to-early-alzheimers-detection/,NYPost
