TITLE,LINK,
"Alarmed by A.I. Chatbots, Universities Start Revamping How They Teach",https://www.nytimes.com/2023/01/16/technology/chatgpt-artificial-intelligence-universities.html,"NYT, Opinion"
Opinion–letters (probably don't include),https://www.nytimes.com/2023/02/17/opinion/ai-chatbot.html,NYT
Why China Didn’t Invent ChatGPT,https://www.nytimes.com/2023/02/17/business/china-chatgpt-microsoft-openai.html,NYT
How ChatGPT Could Embed a ‘Watermark’ in the Text It Generates,https://www.nytimes.com/interactive/2023/02/17/business/ai-text-detection.html,NYT
Microsoft Considers More Limits for Its New A.I. Chatbot,https://www.nytimes.com/2023/02/16/technology/microsoft-bing-chatbot-limits.html,NYT
Why Chatbots Sometimes Act Weird and Spout Nonsense,https://www.nytimes.com/2023/02/16/technology/chatbots-explained.html,NYT
A Conversation With Bing’s Chatbot Left Me Deeply Unsettled,https://www.nytimes.com/2023/02/16/technology/bing-chatbot-microsoft-chatgpt.html,NYT
Disinformation Researchers Raise Alarms About A.I. Chatbots,https://www.nytimes.com/2023/02/08/technology/ai-chatbots-disinformation.html,NYT
ChatGPT Gets Fresh Competition,https://www.nytimes.com/2023/02/07/business/dealbook/chatgpt-google-baidu.html,NYT
"Racing to Catch Up With ChatGPT, Google Plans Release of Its Own Chatbot",https://www.nytimes.com/2023/02/06/technology/google-bard-ai-chatbot.html,NYT
"At This School, Computer Science Class Now Includes Critiquing Chatbots",https://www.nytimes.com/2023/02/06/technology/chatgpt-schools-teachers-ai-ethics.html,NYT
How ChatGPT Kicked Off an A.I. Arms Race,https://www.nytimes.com/2023/02/03/technology/chatgpt-openai-artificial-intelligence.html,NYT
OpenAI to Offer New Version of ChatGPT for a $20 Monthly Fee,https://www.nytimes.com/2023/02/01/technology/openai-chatgpt-plus-subscription.html,NYT
How Will Chatbots Change Education?,https://www.nytimes.com/2023/01/28/opinion/letters/chatbots-education.html,"NYT, Opinion, Letters"
ChatGPT Wrote (Most of) This Letter,https://www.nytimes.com/2023/01/24/opinion/letters/democracy-chatbot.html,"NYT, Opinion, Letters"
"Microsoft to Invest $10 Billion in OpenAI, the Creator of ChatGPT",https://www.nytimes.com/2023/01/23/business/microsoft-chatgpt-artificial-intelligence.html,NYT
How ChatGPT Hijacks Democracy,https://www.nytimes.com/2023/01/15/opinion/ai-chatgpt-lobbying-democracy.html,NYT
Microsoft Bets Big on the Creator of ChatGPT in Race to Dominate A.I.,https://www.nytimes.com/2023/01/12/technology/microsoft-openai-chatgpt.html,NYT
Don’t Ban ChatGPT in Schools. Teach With It.,https://www.nytimes.com/2023/01/12/technology/chatgpt-schools-teachers.html,NYT
Did a Fourth Grader Write This? Or the New Chatbot?,https://www.nytimes.com/interactive/2022/12/26/upshot/chatgpt-child-essays.html,NYT
How to Use ChatGPT and Still Be a Good Person,https://www.nytimes.com/2022/12/21/technology/personaltech/how-to-use-chatgpt-ethically.html,NYT
A New Chat Bot Is a ‘Code Red’ for Google’s Search Business,https://www.nytimes.com/2022/12/21/technology/ai-chatgpt-google-search.html,NYT
My So-So Encounters with ChatGPT,https://www.nytimes.com/2022/12/16/opinion/chatgpt-artificial-intelligence-skill-job.html,NYT
ChatGPT Has a Devastating Sense of Humor,https://www.nytimes.com/2022/12/16/opinion/conversation-with-chatgpt.html,"NYT, Opinion"
Will ChatGPT Make Me Irrelevant?,https://www.nytimes.com/2022/12/15/opinion/chatgpt-artificial-intelligence.html,"NYT, Opinion"
What Would Plato Say About ChatGPT?,https://www.nytimes.com/2022/12/15/opinion/chatgpt-education-ai-technology.html,"NYT, Opinion"
The New Chatbots Could Change the World. Can You Trust Them?,https://www.nytimes.com/2022/12/10/technology/ai-chat-bot-chatgpt.html,NYT
Does ChatGPT Mean Robots Are Coming For the Skilled Jobs?,https://www.nytimes.com/2022/12/06/opinion/chatgpt-ai-skilled-jobs-automation.html,"NYT, Opinion"
The Brilliance and Weirdness of ChatGPT,https://www.nytimes.com/2022/12/05/technology/chatgpt-ai-twitter.html,NYT
What Students Are Saying About ChatGPT,https://www.nytimes.com/2023/02/02/learning/students-chatgpt.html,NYT
Noam Chomsky: The False Promise of ChatGPT,https://www.nytimes.com/2023/03/08/opinion/noam-chomsky-chatgpt-ai.html?searchResultPosition=1,NYT
"A New ‘M*A*S*H’ Scene: Written by ChatGPT, Read by Hawkeye and B.J.",https://www.nytimes.com/2023/03/07/arts/television/mash-chatgpt-alan-alda.html?searchResultPosition=2,NYT
China Chases ChatGPT’s Success,https://www.nytimes.com/2023/02/23/business/dealbook/china-ai-chatgpt.html?searchResultPosition=3,NYT
"The Chatbots Are Here, and the Internet Industry Is in a Tizzy",https://www.nytimes.com/2023/03/08/technology/chatbots-disrupt-internet-industry.html?searchResultPosition=4,NYT
Why Do A.I. Chatbots Tell Lies and Act Weird? Look in the Mirror.,https://www.nytimes.com/2023/02/26/technology/ai-chatbot-information-truth.html?searchResultPosition=34,NYT
Science Fiction Magazines Battle a Flood of Chatbot-Generated Stories,https://www.nytimes.com/2023/02/23/technology/clarkesworld-submissions-ai-sci-fi.html?searchResultPosition=42,NYT
Microsoft to Limit Length of Bing Chatbot Conversations,https://www.nytimes.com/2023/02/17/technology/microsoft-bing-chatbot-limits.html?searchResultPosition=54,NYT
Dear Mr. Chatbot: You Give Me Chills,https://www.nytimes.com/2023/02/17/opinion/letters/bing-chatbot-kevin-roose.html?searchResultPosition=55,NYT
