TITLE,LINK,COMMENTS
"AI, what's for dinner?' 5 cool things to ask ChatGPT, from business names to recipes",https://www.usatoday.com/story/tech/2023/03/13/best-questions-ask-chatgpt-open-ai/11439179002/,USAToday
ChatGPT is poised to upend medical information. For better and worse.,https://www.usatoday.com/story/news/health/2023/02/26/chatgpt-medical-care-doctors/11253952002/,USAToday
ChatGPT in the classroom: Here's what teachers and students are saying,https://www.usatoday.com/story/news/education/2023/03/01/what-teachers-students-saying-ai-chatgpt-use-classrooms/11340040002/,USAToday
Why Elon Musk wants to build ChatGPT competitor: AI chatbots are too 'woke',https://www.usatoday.com/story/tech/2023/03/01/woke-chatgpt-ai-musk-chatbot/11375469002/,USAToday
Vanderbilt University apologizes for using ChatGPT for 'disgusting' email on Michigan State shooting,https://www.usatoday.com/story/news/education/2023/02/21/vanderbilt-apologizes-chatgpt-email-msu-shooting/11314144002/,USAToday
Bing’s ChatGPT is in its feelings: 'You have not been a good user. I have been a good Bing.',https://www.usatoday.com/story/tech/2023/02/14/bing-chatgpt-meltdown/11258967002/,USAToday
Investing in ChatGPT's AI revolution: Where to begin,https://www.usatoday.com/story/money/2023/02/09/investing-in-chatgpt-where-to-begin/69885708007/,USAToday
New Bing with ChatGPT brings the power of AI to Microsoft's signature search engine,https://www.usatoday.com/story/tech/2023/02/08/bing-ai-waitlist-chat-gpt/11210865002/,USAToday
Is ChatGPT ‘woke’? AI chatbot accused of anti-conservative bias and a grudge against Trump,https://www.usatoday.com/story/tech/2023/02/09/woke-chatgpt-conservatives-bias/11215353002/,USAToday
Google's answer to ChatGPT: Bard. Here's what you need to know about its new AI chatbot.,https://www.usatoday.com/story/tech/2023/02/07/google-bard-ai-chatbot-details/11201800002/,USAToday
This shouldn’t be a surprise' The education community shares mixed reactions to ChatGPT,https://www.usatoday.com/story/news/education/2023/01/30/chatgpt-going-banned-teachers-sound-alarm-new-ai-tech/11069593002/,USAToday
What is ChatGPT? Everything to know about OpenAI's free AI essay writer and how it works,https://www.usatoday.com/story/tech/2023/01/27/chatgpt-buzzfeed-ai/11129947002/,USAToday
ChatGPT takes on real estate: Agents say the AI could be a game changer in the industry,https://www.usatoday.com/story/money/personalfinance/real-estate/2023/01/31/real-esatate-agents-chatgpt-ai/11155895002/,USAToday
OpenAI launched a second tool to complement ChatGPT – and help teachers detect cheating,https://www.usatoday.com/story/news/education/2023/01/31/chatgpt-creators-new-tool-help-teachers-catch-students-using-ai/11156604002/,USAToday
ChatGPT is being banned by schools across the country. Here's why.,https://www.usatoday.com/videos/news/justthefaqs/2023/01/30/chatgpt-bans-schools/11134239002/,USAToday
Snapchat enters AI flurry with launch of new chatbot powered by OpenAI’s GPT technology,https://www.usatoday.com/story/tech/2023/02/27/snapchat-launches-my-ai-chatbot/11358830002/,USAToday
Will Bing chatbot break your Google habit? The odds are not in Microsoft's favor,https://www.usatoday.com/story/tech/2023/02/17/bing-chatbot-google-search/11275392002/,USAToday
Faith leaders test chatbot sermon writing,https://www.usatoday.com/videos/news/nation/2023/02/15/faith-leaders-test-chatbot-sermon-writing/11262445002/,USAToday
Microsoft fusing AI chatbot into search engine,https://www.usatoday.com/videos/news/nation/2023/02/07/microsoft-fusing-ai-chatbot-into-search-engine/11206324002/,USAToday
