TITLE,LINK,COMMENTS
What can ChatGPT maker's new AI model GPT-4 do?,https://www.washingtonpost.com/business/2023/03/15/chatgpt-gpt4-artificial-intelligence-chatbots/0bc21212-c347-11ed-82a7-6a87555c1878_story.html,Washington post
GPT-4 has arrived. It will blow ChatGPT out of the water.,https://www.washingtonpost.com/technology/2023/03/14/gpt-4-has-arrived-it-will-blow-chatgpt-out-water/,Washington post
Lifesaver or job killer? Why AI tools like ChatGPT are so polarizing.,https://www.washingtonpost.com/technology/2023/03/12/chatgpt-bing-ai-benefits-harms-hype/,Washington post
"What to know about OpenAI, the company behind ChatGPT",https://www.washingtonpost.com/technology/2023/02/06/what-is-openai-chatgpt/,Washington post
Could ChatGPT win the NCAA bracket? Alexandra Petri answered your questions,https://www.washingtonpost.com/opinions/2023/03/14/alexandra-petri-chat-opinions/,"Washington post, Opinion"
We asked ChatGPT to plan the perfect tour of D.C. Here’s how it went.,https://www.washingtonpost.com/travel/tips/chatgpt-ai-washington-travel/,Washington post
"ChatGPT is coming to Slack, and it will help write your messages",https://www.washingtonpost.com/technology/2023/03/07/chatgpt-slack-salesforce/,Washington post
"Best of MWC: Screens that roll, ChatGPT interactive glasses",https://www.washingtonpost.com/business/mwc-metaverse-chatgpt-ai-mobile-world-congress/2023/03/02/3868e3c2-b901-11ed-b0df-8ca14de679ad_story.html,Washington post
"As ChatGPT hype soars, FTC warns Silicon Valley not to oversell its AI",https://www.washingtonpost.com/politics/2023/02/28/chatgpt-hype-soars-ftc-warns-silicon-valley-not-oversell-its-ai/,Washington post
Banks Are Right to Clamp Down on Office ChatGPT,https://www.washingtonpost.com/business/banks-are-right-to-clamp-down-on-office-chatgpt/2023/02/24/2c38191c-b46d-11ed-94a0-512954d75716_story.html,Washington post
Baidu to implement ChatGPT-like Ernie Bot chatbot from March,https://www.washingtonpost.com/business/baidu-to-implement-chatgpt-like-ernie-bot-chatbot-from-march/2023/02/22/c426694c-b29f-11ed-94a0-512954d75716_story.html,Washington post
ChatGPT Shows Just How Far Europe Lags in Tech,https://www.washingtonpost.com/business/chatgpt-shows-just-how-far-europe-lags-in-tech/2023/02/20/5497e21c-b0de-11ed-94a0-512954d75716_story.html,Washington post
Vanderbilt apologizes for using ChatGPT to write message on MSU shooting,https://www.washingtonpost.com/nation/2023/02/21/vanderbilt-chatgpt-michigan-shooting/,Washington post
ChatGPT might be the end of civilization,https://www.washingtonpost.com/opinions/2023/02/17/chatgpt-students-end-of-civilization/,"Washington post, Opinion, Letters"
The clever trick that turns ChatGPT into its evil twin,https://www.washingtonpost.com/technology/2023/02/14/chatgpt-dan-jailbreak/,Washington post
Pastors' view: Sermons written by ChatGPT will have no soul,https://www.washingtonpost.com/business/pastors-view-sermons-written-by-chatgpt-will-have-no-soul/2023/02/15/1e751ac6-ad35-11ed-b0ba-9f4244c6e5da_story.html,Washington post
"Amid ChatGPT outcry, some teachers are inviting AI to class",https://www.washingtonpost.com/national/amid-chatgpt-outcry-some-teachers-are-inviting-ai-to-class/2023/02/14/0705ab74-ac60-11ed-b0ba-9f4244c6e5da_story.html,Washington post
Can ChatGPT Write a Better Novel Than I Can?,https://www.washingtonpost.com/business/can-chatgpt-write-a-better-novel-than-i-can/2023/02/11/e7f3d0c4-aa0e-11ed-b2a3-edb05ee0e313_story.html,Washington post
Microsoft bakes ChatGPT-like tech into search engine Bing,https://www.washingtonpost.com/business/microsoft-bakes-chatgpt-like-tech-into-search-engine-bing/2023/02/07/da6d5dd0-a716-11ed-b2a3-edb05ee0e313_story.html,Washington post
"Google hopes 'Bard' will outsmart ChatGPT, Microsoft in AI",https://www.washingtonpost.com/business/google-hopes-bard-will-outsmart-chatgpt-microsoft-in-ai/2023/02/06/e25c0faa-a66c-11ed-b2a3-edb05ee0e313_story.html,Washington post
Opinion | Why I’m not worried about my students using ChatGPT,https://www.washingtonpost.com/opinions/2023/02/06/college-students-professor-concerns-chatgpt/,"Washington post, Opinion"
ChatGPT bot channels history to pen State of Union speech,https://www.washingtonpost.com/politics/chatgpt-bot-channels-history-to-pen-state-of-union-speech/2023/02/06/9fa6d158-a609-11ed-b2a3-edb05ee0e313_story.html,Washington post
