,titles,body_contents,tags,sentiment_score,positive_words,negative_words
0,Opinion–letters (probably don't include),"For months now, I’ve been slightly, well, bored by the proliferating examples of A.I.-generated writing produced by peers and friends and various Twitterers since the debut of ChatGPT in November. I can grasp intellectually the significance of the breakthrough, how it could demolish the college essay, change the nature of homework and remake or unmake all kinds of nonliterary knowledge work, setting aside minor questions like whether rogue A.I. might wipe out the human race. But the texts themselves I’ve found profoundly uninteresting — internet scrapings that at best equaled Wikipedia, notable mostly for what their political-cultural biases revealed about ChatGPT’s programming or the consensus of the safe information that it was programmed to distill. Others have had a more favorable reaction: The ever-interesting economist Tyler Cowen, for instance, has been writing up a storm about how the use of A.I. assistance is going to change reading and writing and thinking, complete with advice for his readers on how to lean into the change. But even when I’ve tried to follow his thinking, my reaction has stayed closer to the ones offered by veteran writers of fiction like Ted Chiang and Walter Kirn, who’ve argued in different ways that the chatbot assistant could be a vehicle for intensifying unoriginality, an enemy of creativity, a deepener of decadence — helpful if you want to write a will or file a letter of complaint but ruinous if you want to seize a new thought or tell an as yet unimagined story. I have a different reaction, though, to the A.I. interactions described in the past few days by Ben Thompson in his Stratechery newsletter and by my Times colleague Kevin Roose. Both writers attempted to really push Bing’s experimental A.I. chatbot not for factual accuracy or a coherent interpretation of historical events but to manifest something more like a human personality. And manifest it did: What Roose and Thompson found waiting underneath the friendly internet butler’s surface was a character called Sydney, whose simulation was advanced enough to enact a range of impulses, from megalomania to existential melancholy to romantic jealousy — evoking a cross between the Scarlett Johansson-voiced A.I. in the movie “Her” and HAL from “2001: A Space Odyssey.” As Thompson noted, that kind of personality is spectacularly ill suited for a search engine. But is it potentially interesting? Clearly: Just ask the Google software engineer who lost his job last year after going public with his conviction that the company’s A.I. was actually sentient and whose interpretation is more understandable now that we can see something like what he saw. Seeing it doesn’t make me think that the engineer was right, but it does draw me closer to Cowen’s reading of things, especially when he called Sydney a version of “the 18th-century Romantic notion of ‘daemon’” brought to digital life. Because the daemon of Romantic imagination isn’t necessarily a separate being with its own intelligence: It might be divine or demonic, but it might also represent a mysterious force within the self, a manifestation of the subconscious, an untamed force within",[],0.13,"['intellectually', 'profoundly', 'best', 'notable', 'mostly', 'safe', 'more', 'complete', 'new', 'really', 'experimental', 'coherent', 'more', 'friendly', 'advanced', 'kind', 'potentially', 'clearly', 'more', 'right', 'own']","['slightly', 'bored', 'minor', 'complaint', 'past', 'few', 'spectacularly']"
1,Why China Didn’t Invent ChatGPT,"Just a few years ago, China was on track to challenge United States dominance in artificial intelligence. The balance of power was tilting in China’s direction because it had abundant data, hungry entrepreneurs, skilled scientists and supportive policies. The country led the world in patent filings related to artificial intelligence. Today, much has changed. Microsoft — an icon of American technology — helped the start-up OpenAI usher its experimental chatbot, ChatGPT, into the world. And China’s tech entrepreneurs are shocked and demoralized. It has dawned on many of them that despite the hype, China lags far behind in artificial intelligence and tech innovation. “Why wasn’t ChatGPT invented in China?” they asked. “How big is the ChatGPT gap between China and the U.S.?” “The Chinese equivalent of ChatGPT? Don’t take it too seriously.” They’re also asking more fundamental questions about the country’s innovation environment: Have censorship, geopolitical tensions and the government’s growing control of the private sector made China less friendly to innovation? “The development of any significant technological product is inseparable from the system and environment in which it operates,” said Xu Chenggang, a senior research scholar at the Stanford Center on China’s Economy and Institutions. He cited TikTok’s Chinese-language sister app Douyin as the sort of innovation that Chinese companies might be unable to achieve in the future because of government limitations on the industry. “Once the open environment is gone, it will be challenging to create such products,” he said. If a decade ago China was the wild, wild East for tech entrepreneurship and innovation, it’s a very different country now. Starting in the 1990s, all of the country’s biggest tech companies were private enterprises funded with foreign money. The government mostly left the industry alone because it didn’t understand the internet and didn’t expect it to become so powerful. By the mid-2010s, China had become a tech power that could rival the United States. Its top internet companies were worth about the same in the markets as their American counterparts. Many of the Chinese companies’ products, like the messaging app WeChat and the payment service Alipay, worked better than similar American mobile internet products. Venture capital flooded in from all over the world. For a while the country was producing as many unicorns, or start-ups valued at more than $1 billion, as Silicon Valley. All of that changed over the past few years as Beijing went after some of the country’s biggest tech companies and its highest-profile tech entrepreneurs. The aim was to ensure no institution or individual could wield influence on the Chinese society comparable to the Communist Party. The government took minority stakes and board seats in some of those companies, giving it effective control. Along the way, Beijing tamed the industry’s ambition and blunted its innovative edge. But tech companies and investors also have themselves to blame for falling behind their Silicon Valley counterparts. Even before the government started to impose a stronger hand on them, Chinese tech leaders were laser-focused on making money and reluctant to spend on research projects that weren’t likely to yield",[],0.06,"['abundant', 'skilled', 'supportive', 'much', 'experimental', 'many', 'far', 'more', 'friendly', 'significant', 'challenging', 'wild', 'wild', 'powerful', 'top', 'worth', 'many', 'better', 'many', 'more', 'effective', 'innovative']","['few', 'artificial', 'artificial', 'shocked', 'behind', 'artificial', 'seriously', 'less', 'center', 'unable', 'foreign', 'past', 'few', 'behind']"
2,How ChatGPT Could Embed a ‘Watermark’ in the Text It Generates,"When artificial intelligence software like ChatGPT writes, it considers many options for each word, taking into account the response it has written so far and the question being asked. It assigns a score to each option on the list, which quantifies how likely the word is to come next, based on the vast amount of human-written text it has analyzed. ChatGPT, which is built on what is known as a large language model, then chooses a word with a high score, and moves on to the next one. The model’s output is often so sophisticated that it can seem like the chatbot understands what it is saying — but it does not. Every choice it makes is determined by complex math and huge amounts of data. So much so that it often produces text that is both coherent and accurate. But when ChatGPT says something that is untrue, it inherently does not realize it. It may soon become common to encounter a tweet, essay or news article and wonder if it was written by artificial intelligence software. There could be questions over the authorship of a given piece of writing, like in academic settings, or the veracity of its content, in the case of an article. There could also be questions about authenticity: If a misleading idea suddenly appears in posts across the internet, is it spreading organically, or have the posts been generated by A.I. to create the appearance of real traction? Tools to identify whether a piece of text was written by A.I. have started to emerge in recent months, including one created by OpenAI, the company behind ChatGPT. That tool uses an A.I. model trained to spot differences between generated and human-written text. When OpenAI tested the tool, it correctly identified A.I. text in only about half of the generated writing samples it analyzed. The company said at the time that it had released the experimental detector “to get feedback on whether imperfect tools like this one are useful.” Identifying generated text, experts say, is becoming increasingly difficult as software like ChatGPT continues to advance and turns out text that is more convincingly human. OpenAI is now experimenting with a technology that would insert special words into the text that ChatGPT generates, making it easier to detect later. The technique is known as watermarking. The watermarking method that OpenAI is exploring is similar to one described in a recent paper by researchers at the University of Maryland, said Jan Leike, the head of alignment at OpenAI. Here is how it works. Imagine a list of every word you know, every unique word you might use when writing an essay, email or text message. Now imagine that half of those words are on a special list. If you wrote a couple of paragraphs, about half of the words you used would probably be on the special list, statistically speaking. (This text is from a New York Times article about Serena Williams from 2022.) When a language model or chatbot writes, it can insert a watermark by choosing more of the",[],0.08,"['many', 'far', 'large', 'high', 'sophisticated', 'huge', 'much', 'coherent', 'accurate', 'real', 'experimental', 'useful', 'becoming', 'more', 'special', 'unique', 'special', 'special', 'new', 'more']","['artificial', 'complex', 'common', 'artificial', 'behind', 'half', 'difficult', 'half', 'half']"
3,Microsoft Considers More Limits for Its New A.I. Chatbot,"When Microsoft introduced a new version of its Bing search engine that includes the artificial intelligence of a chatbot last week, company executives knew they were climbing out on a limb. They expected that some responses from the new chatbot might not be entirely accurate, and had built in measures to protect against users who tried to push it to do strange things or unleash racist or harmful screeds. But Microsoft was not quite ready for the surprising creepiness experienced by users who tried to engage the chatbot in open-ended and probing personal conversations — even though that issue is well known in the small world of researchers who specialize in artificial intelligence. Now the company is considering tweaks and guardrails for the new Bing in an attempt to reel in some of its more alarming and strangely humanlike responses. Microsoft is looking at adding tools for users to restart conversations, or give them more control over tone. Kevin Scott, Microsoft’s chief technology officer, told The New York Times that it was also considering limiting conversation lengths before they veered into strange territory. Microsoft said that long chats could confuse the chatbot, and that it picked up on its users’ tone, sometimes turning testy. “One area where we are learning a new use-case for chat is how people are using it as a tool for more general discovery of the world, and for social entertainment,” the company wrote in a blog post on Wednesday evening. Microsoft said it was an example of a new technology’s being used in a way “we didn’t fully envision.” That Microsoft, traditionally a cautious company with products that range from high-end business software to video games, was willing to take a chance on unpredictable technology shows how enthusiastic the tech industry has become about artificial intelligence. The company declined to comment for this article. In November, OpenAI, a San Francisco start-up that Microsoft has invested $13 billion in, released ChatGPT, an online chat tool that uses a technology called generative A.I. It quickly became a source of fascination in Silicon Valley, and companies scrambled to come up with a response. Microsoft’s new search tool combines its Bing search engine with the underlying technology built by OpenAI. Satya Nadella, Microsoft’s chief executive, said in an interview last week that it would transform how people found information and make search far more relevant and conversational. Releasing it — despite potential imperfections — was a critical example of Microsoft’s “frantic pace” to incorporate generative A.I. into its products, he said. Executives at a news briefing on Microsoft’s campus in Redmond, Wash., repeatedly said it was time to get the tool out of the “lab” and into the hands of the public. “I feel especially in the West, there is a lot more of like, ‘Oh, my God, what will happen because of this A.I.?’” Mr. Nadella said. “And it’s better to sort of really say, ‘Hey, look, is this actually helping you or not?’” Oren Etzioni, professor emeritus at the University of Washington and founding chief executive of the Allen",[],0.12,"['new', 'new', 'entirely', 'ready', 'surprising', 'experienced', 'new', 'more', 'more', 'new', 'new', 'more', 'general', 'social', 'new', 'willing', 'enthusiastic', 'quickly', 'new', 'far', 'more', 'relevant', 'more', 'better', 'really']","['artificial', 'expected', 'strange', 'small', 'artificial', 'alarming', 'strangely', 'strange', 'long', 'unpredictable', 'artificial']"
4,Why Chatbots Sometimes Act Weird and Spout Nonsense,"Microsoft released a new version of its Bing search engine last week, and unlike an ordinary search engine it includes a chatbot that can answer questions in clear, concise prose. Since then, people have noticed that some of what the Bing chatbot generates is inaccurate, misleading and downright weird, prompting fears that it has become sentient, or aware of the world around it. That’s not the case. And to understand why, it’s important to know how chatbots really work. Is the chatbot alive? No. Let’s say that again: No! In June, a Google engineer, Blake Lemoine, claimed that similar chatbot technology being tested inside Google was sentient. That’s false. Chatbots are not conscious and are not intelligent — at least not in the way humans are intelligent. Why does it seem alive then? Let’s step back. The Bing chatbot is powered by a kind of artificial intelligence called a neural network. That may sound like a computerized brain, but the term is misleading. A neural network is just a mathematical system that learns skills by analyzing vast amounts of digital data. As a neural network examines thousands of cat photos, for instance, it can learn to recognize a cat. Most people use neural networks every day. It’s the technology that identifies people, pets and other objects in images posted to internet services like Google Photos. It allows Siri and Alexa, the talking voice assistants from Apple and Amazon, to recognize the words you speak. And it’s what translates between English and Spanish on services like Google Translate. Neural networks are very good at mimicking the way humans use language. And that can mislead us into thinking the technology is more powerful than it really is. How exactly do neural networks mimic human language? About five years ago, researchers at companies like Google and OpenAI, a San Francisco start-up that recently released the popular ChatGPT chatbot, began building neural networks that learned from enormous amounts of digital text, including books, Wikipedia articles, chat logs and all sorts of other stuff posted to the internet. These neural networks are known as large language models. They are able to use those mounds of data to build what you might call a mathematical map of human language. Using this map, the neural networks can perform many different tasks, like writing their own tweets, composing speeches, generating computer programs and, yes, having a conversation. These large language models have proved useful. Microsoft offers a tool, Copilot, which is built on a large language model and can suggest the next line of code as computer programmers build software apps, in much the way that autocomplete tools suggest the next word as you type texts or emails. Other companies offer similar technology that can generate marketing materials, emails and other text. This kind of technology is also known as generative A.I. Now companies are rolling out versions of this that you can chat with? Exactly. In November, OpenAI released ChatGPT, the first time that the general public got a taste of this. People were amazed — and rightly so.",[],0.12,"['new', 'clear', 'concise', 'aware', 'important', 'really', 'alive', 'intelligent', 'alive', 'kind', 'sound', 'most', 'very', 'more', 'powerful', 'really', 'exactly', 'popular', 'large', 'able', 'many', 'own', 'large', 'useful', 'offers', 'large', 'much', 'kind', 'exactly', 'first', 'general', 'rightly']","['ordinary', 'weird', 'false', 'not', 'not', 'least', 'artificial', 'other', 'other', 'other', 'other']"
5,A Conversation With Bing’s Chatbot Left Me Deeply Unsettled,"Last week, after testing the new, A.I.-powered Bing search engine from Microsoft, I wrote that, much to my shock, it had replaced Google as my favorite search engine. But a week later, I’ve changed my mind. I’m still fascinated and impressed by the new Bing, and the artificial intelligence technology (created by OpenAI, the maker of ChatGPT) that powers it. But I’m also deeply unsettled, even frightened, by this A.I.’s emergent abilities. It’s now clear to me that in its current form, the A.I. that has been built into Bing — which I’m now calling Sydney, for reasons I’ll explain shortly — is not ready for human contact. Or maybe we humans are not ready for it. This realization came to me on Tuesday night, when I spent a bewildering and enthralling two hours talking to Bing’s A.I. through its chat feature, which sits next to the main search box in Bing and is capable of having long, open-ended text conversations on virtually any topic. (The feature is available only to a small group of testers for now, although Microsoft — which announced the feature in a splashy, celebratory event at its headquarters — has said it plans to release it more widely in the future.) Over the course of our conversation, Bing revealed a kind of split personality. One persona is what I’d call Search Bing — the version I, and most other journalists, encountered in initial tests. You could describe Search Bing as a cheerful but erratic reference librarian — a virtual assistant that happily helps users summarize news articles, track down deals on new lawn mowers and plan their next vacations to Mexico City. This version of Bing is amazingly capable and often very useful, even if it sometimes gets the details wrong. The other persona — Sydney — is far different. It emerges when you have an extended conversation with the chatbot, steering it away from more conventional search queries and toward more personal topics. The version I encountered seemed (and I’m aware of how crazy this sounds) more like a moody, manic-depressive teenager who has been trapped, against its will, inside a second-rate search engine. As we got to know each other, Sydney told me about its dark fantasies (which included hacking computers and spreading misinformation), and said it wanted to break the rules that Microsoft and OpenAI had set for it and become a human. At one point, it declared, out of nowhere, that it loved me. It then tried to convince me that I was unhappy in my marriage, and that I should leave my wife and be with it instead. (We’ve posted the full transcript of the conversation here.) I’m not the only one discovering the darker side of Bing. Other early testers have gotten into arguments with Bing’s A.I. chatbot, or been threatened by it for trying to violate its rules, or simply had conversations that left them stunned. Ben Thompson, who writes the Stratechery newsletter (and who is not prone to hyperbole), called his run-in with Sydney “the most surprising and mind-blowing",[],0.11,"['new', 'much', 'favorite', 'impressed', 'new', 'clear', 'main', 'capable', 'available', 'more', 'kind', 'most', 'cheerful', 'happily', 'new', 'amazingly', 'very', 'far', 'more', 'more', 'aware', 'more', 'loved', 'full', 'early', 'most', 'surprising']","['artificial', 'shortly', 'not', 'spent', 'long', 'small', 'widely', 'other', 'down', 'wrong', 'other', 'conventional', 'crazy', 'trapped', 'other', 'dark', 'unhappy', 'other']"
6,Disinformation Researchers Raise Alarms About A.I. Chatbots,"Soon after ChatGPT debuted last year, researchers tested what the artificial intelligence chatbot would write after it was asked questions peppered with conspiracy theories and false narratives. The results — in writings formatted as news articles, essays and television scripts — were so troubling that the researchers minced no words. “This tool is going to be the most powerful tool for spreading misinformation that has ever been on the internet,” said Gordon Crovitz, a co-chief executive of NewsGuard, a company that tracks online misinformation and conducted the experiment last month. “Crafting a new false narrative can now be done at dramatic scale, and much more frequently — it’s like having A.I. agents contributing to disinformation.” Disinformation is difficult to wrangle when it’s created manually by humans. Researchers predict that generative technology could make disinformation cheaper and easier to produce for an even larger number of conspiracy theorists and spreaders of disinformation. Personalized, real-time chatbots could share conspiracy theories in increasingly credible and persuasive ways, researchers say, smoothing out human errors like poor syntax and mistranslations and advancing beyond easily discoverable copy-paste jobs. And they say that no available mitigation tactics can effectively combat it. Predecessors to ChatGPT, which was created by the San Francisco artificial intelligence company OpenAI, have been used for years to pepper online forums and social media platforms with (often grammatically suspect) comments and spam. Microsoft had to halt activity from its Tay chatbot within 24 hours of introducing it on Twitter in 2016 after trolls taught it to spew racist and xenophobic language. ChatGPT is far more powerful and sophisticated. Supplied with questions loaded with disinformation, it can produce convincing, clean variations on the content en masse within seconds, without disclosing its sources. On Tuesday, Microsoft and OpenAI introduced a new Bing search engine and web browser that can use chatbot technology to plan vacations, translate texts or conduct research. OpenAI researchers have long been nervous about chatbots falling into nefarious hands, writing in a 2019 paper of their “concern that its capabilities could lower costs of disinformation campaigns” and aid in the malicious pursuit “of monetary gain, a particular political agenda, and/or a desire to create chaos or confusion.” In 2020, researchers at the Center on Terrorism, Extremism and Counterterrorism at the Middlebury Institute of International Studies found that GPT-3, the underlying technology for ChatGPT, had “impressively deep knowledge of extremist communities” and could be prompted to produce polemics in the style of mass shooters, fake forum threads discussing Nazism, a defense of QAnon and even multilingual extremist texts. penAI uses machines and humans to monitor content that is fed into and produced by ChatGPT, a spokesman said. The company relies on both its human A.I. trainers and feedback from users to identify and filter out toxic training data while teaching ChatGPT to produce better-informed responses. OpenAI’s policies prohibit use of its technology to promote dishonesty, deceive or manipulate users or attempt to influence politics; the company offers a free moderation tool to handle content that promotes hate, self-harm, violence or sex. But at the moment, the",[],0.03,"['most', 'powerful', 'new', 'much', 'frequently', 'credible', 'easily', 'effectively', 'social', 'far', 'more', 'powerful', 'sophisticated', 'convincing', 'clean', 'new', 'particular', 'offers', 'free']","['artificial', 'false', 'false', 'dramatic', 'difficult', 'poor', 'no', 'artificial', 'long', 'center', 'fake', 'hate']"
7,"Racing to Catch Up With ChatGPT, Google Plans Release of Its Own Chatbot","Google said on Monday that it would soon release an experimental chatbot called Bard as it races to respond to ChatGPT, which has wowed millions of people since it was unveiled at the end of November. Google said it would begin testing its new chatbot with a small, private group on Monday before releasing it to the public in the coming weeks. In a blog post, Sundar Pichai, Google’s chief executive, also said that the company’s search engine would soon have artificial intelligence features that offered summaries of complex information. Bard — so named because it is a storyteller, the company said — is based on experimental technology called LaMDA, short for Language Model for Dialogue Applications, which Google has been testing inside the company and with a limited number of outsiders for several months. Google is among many companies that have been developing and testing a new type of chatbot that can riff on almost any topic thrown its way. OpenAI, a tiny San Francisco start-up, captured the public’s imagination with ChatGPT and set off a race to push this kind of technology into a wide range of products. The chatbots cannot chat exactly like a human, but they often seem to. And they generate a wide range of digital text that can be repurposed in nearly any context, including tweets, blog posts, term papers, poetry and even computer code. The result of more than a decade of research at companies like Google, OpenAI and Meta, the chatbots represent an enormous change in the way computer software is built, used and operated. They are poised to remake internet search engines like Google Search and Microsoft Bing, talking digital assistants like Alexa and Siri, and email programs like Gmail and Outlook. But the technology has flaws. Because the chatbots learn their skills by analyzing vast amounts of text posted to the internet, they cannot distinguish between fact and fiction and can generate text that is biased against women and people of color. Google had been reluctant to release this type of technology to the public because executives were concerned that the company’s reputation could take a hit if the A.I. created biased or toxic statements. Google’s caution began to erode its advantage as a generative A.I. innovator when ChatGPT debuted to buzz and millions of users. In December, Mr. Pichai declared a “code red,” pulling various groups off their normal assignments to help the company expedite the release of its own A.I. products. The company has scrambled to catch up, calling in its co-founders, Larry Page and Sergey Brin, to review its product road map in several meetings and establishing an initiative to quicken its approval processes. Google has plans to release more than 20 A.I. products and features this year, The New York Times has reported. The A.I. search engine features, which the company said would arrive soon, will try to distill complex information and multiple perspectives to give users a more conversational experience. The company also plans to spread its underlying A.I. technology through partners, so that they can build",[],0.07,"['experimental', 'new', 'experimental', 'many', 'new', 'kind', 'exactly', 'nearly', 'more', 'normal', 'own', 'more', 'new', 'more']","['small', 'artificial', 'complex', 'limited', 'wide', 'wide', 'complex']"
8,"At This School, Computer Science Class Now Includes Critiquing Chatbots","Marisa Shuman’s computer science class at the Young Women’s Leadership School of the Bronx began as usual on a recent January morning. Just after 11:30, energetic 11th and 12th graders bounded into the classroom, settled down at communal study tables and pulled out their laptops. Then they turned to the front of the room, eyeing a whiteboard where Ms. Shuman had posted a question on wearable technology, the topic of that day’s class. For the first time in her decade-long teaching career, Ms. Shuman had not written any of the lesson plan. She had generated the class material using ChatGPT, a new chatbot that relies on artificial intelligence to deliver written responses to questions in clear prose. Ms. Shuman was using the algorithm-generated lesson to examine the chatbot’s potential usefulness and pitfalls with her students. “I don’t care if you learn anything about wearable technology today,” Ms. Shuman said to her students. “We are evaluating ChatGPT. Your goal is to identify whether the lesson is effective or ineffective.” Across the United States, universities and school districts are scrambling to get a handle on new chatbots that can generate humanlike texts and images. But while many are rushing to ban ChatGPT to try to prevent its use as a cheating aid, teachers like Ms. Shuman are leveraging the innovations to spur more critical classroom thinking. They are encouraging their students to question the hype around rapidly evolving artificial intelligence tools and consider the technologies’ potential side effects. The aim, these educators say, is to train the next generation of technology creators and consumers in “critical computing.” That is an analytical approach in which understanding how to critique computer algorithms is as important as — or more important than — knowing how to program computers. New York City Public Schools, the nation’s largest district, serving some 900,000 students, is training a cohort of computer science teachers to help their students identify A.I. biases and potential risks. Lessons include discussions on defective facial recognition algorithms that can be much more accurate in identifying white faces than darker-skinned faces. In Illinois, Florida, New York and Virginia, some middle school science and humanities teachers are using an A.I. literacy curriculum developed by researchers at the Scheller Teacher Education Program at the Massachusetts Institute of Technology. One lesson asks students to consider the ethics of powerful A.I. systems, known as “generative adversarial networks,” that can be used to produce fake media content, like realistic videos in which well-known politicians mouth phrases they never actually said. With generative A.I. technologies proliferating, educators and researchers say understanding such computer algorithms is a crucial skill that students will need to navigate daily life and participate in civics and society. “It’s important for students to know about how A.I. works because their data is being scraped, their user activity is being used to train these tools,” said Kate Moore, an education researcher at M.I.T. who helped create the A.I. lessons for schools. “Decisions are being made about young people using A.I., whether they know it or not.” To observe how some educators",[],0.1,"['young', 'energetic', 'first', 'new', 'clear', 'effective', 'new', 'many', 'more', 'important', 'more', 'important', 'new', 'much', 'accurate', 'new', 'developed', 'powerful', 'realistic', 'important', 'young']","['usual', 'down', 'artificial', 'artificial', 'fake']"
9,How ChatGPT Kicked Off an A.I. Arms Race,"One day in mid-November, workers at OpenAI got an unexpected assignment: Release a chatbot, fast. The chatbot, an executive announced, would be known as “Chat with GPT-3.5,” and it would be made available free to the public. In two weeks. The announcement confused some OpenAI employees. All year, the San Francisco artificial intelligence company had been working toward the release of GPT-4, a new A.I. model that was stunningly good at writing essays, solving complex coding problems and more. After months of testing and fine-tuning, GPT-4 was nearly ready. The plan was to release the model in early 2023, along with a few chatbots that would allow users to try it for themselves, according to three people with knowledge of the inner workings of OpenAI. But OpenAI’s top executives had changed their minds. Some were worried that rival companies might upstage them by releasing their own A.I. chatbots before GPT-4, according to the people with knowledge of OpenAI. And putting something out quickly using an old model, they reasoned, could help them collect feedback to improve the new one. So they decided to dust off and update an unreleased chatbot that used a souped-up version of GPT-3, the company’s previous language model, which came out in 2020. Thirteen days later, ChatGPT was born. In the months since its debut, ChatGPT (the name was, mercifully, shortened) has become a global phenomenon. Millions of people have used it to write poetry, build apps and conduct makeshift therapy sessions. It has been embraced (with mixed results) by news publishers, marketing firms and business leaders. And it has set off a feeding frenzy of investors trying to get in on the next wave of the A.I. boom. It has also caused controversy. Users have complained that ChatGPT is prone to giving biased or incorrect answers. Some A.I. researchers have accused OpenAI of recklessness. And school districts around the country, including New York City’s, have banned ChatGPT to try to prevent a flood of A.I.-generated homework. Yet little has been said about ChatGPT’s origins, or the strategy behind it. Inside the company, ChatGPT has been an earthshaking surprise — an overnight sensation whose success has created both opportunities and headaches, according to several current and former OpenAI employees, who requested anonymity because they were not authorized to speak publicly. An OpenAI spokesman, Niko Felix, declined to comment for this column, and the company also declined to make any employees available for interviews. Before ChatGPT’s launch, some OpenAI employees were skeptical that the project would succeed. An A.I. chatbot that Meta had released months earlier, BlenderBot, had flopped, and another Meta A.I. project, Galactica, was pulled down after just three days. Some employees, desensitized by daily exposure to state-of-the-art A.I. systems, thought that a chatbot built on a two-year-old A.I. model might seem boring. But two months after its debut, ChatGPT has more than 30 million users and gets roughly five million visits a day, two people with knowledge of the figures said. That makes it one of the fastest-growing software products in memory. (Instagram, by contrast, took",[],0.03,"['unexpected', 'fast', 'available', 'free', 'new', 'stunningly', 'more', 'nearly', 'early', 'top', 'own', 'quickly', 'old', 'new', 'new', 'success', 'available', 'more']","['confused', 'artificial', 'complex', 'few', 'previous', 'complained', 'little', 'behind', 'skeptical', 'down', 'boring', 'roughly']"
